Name,ISIN,Issue Date,Maturity Date,Coupon,Price Date,Price,Number of Days to Next Payment
CAN 1.5 Mar 1,CA135087D929,10/14/2014,3/1/2020,1.5,1/2/2020,99.85,59
CAN 1.5 Mar 1,CA135087D929,10/14/2014,3/1/2020,1.5,1/3/2020,99.86,58
CAN 1.5 Mar 1,CA135087D929,10/14/2014,3/1/2020,1.5,1/6/2020,99.86,55
CAN 1.5 Mar 1,CA135087D929,10/14/2014,3/1/2020,1.5,1/7/2020,99.86,54
CAN 1.5 Mar 1,CA135087D929,10/14/2014,3/1/2020,1.5,1/8/2020,99.86,53
CAN 1.5 Mar 1,CA135087D929,10/14/2014,3/1/2020,1.5,1/9/2020,99.86,52
CAN 1.5 Mar 1,CA135087D929,10/14/2014,3/1/2020,1.5,1/10/2020,99.86,51
CAN 1.5 Mar 1,CA135087D929,10/14/2014,3/1/2020,1.5,1/13/2020,99.86,48
CAN 1.5 Mar 1,CA135087D929,10/14/2014,3/1/2020,1.5,1/14/2020,99.86,47
CAN 1.5 Mar 1,CA135087D929,10/14/2014,3/1/2020,1.5,1/15/2020,99.86,46
CAN 0.75 Sep 1,CA135087E596,4/13/2015,9/1/2020,0.75,1/2/2020,99.26,59
CAN 0.75 Sep 1,CA135087E596,4/13/2015,9/1/2020,0.75,1/3/2020,99.28,58
CAN 0.75 Sep 1,CA135087E596,4/13/2015,9/1/2020,0.75,1/6/2020,99.28,55
CAN 0.75 Sep 1,CA135087E596,4/13/2015,9/1/2020,0.75,1/7/2020,99.27,54
CAN 0.75 Sep 1,CA135087E596,4/13/2015,9/1/2020,0.75,1/8/2020,99.28,53
CAN 0.75 Sep 1,CA135087E596,4/13/2015,9/1/2020,0.75,1/9/2020,99.28,52
CAN 0.75 Sep 1,CA135087E596,4/13/2015,9/1/2020,0.75,1/10/2020,99.28,51
CAN 0.75 Sep 1,CA135087E596,4/13/2015,9/1/2020,0.75,1/13/2020,99.27,48
CAN 0.75 Sep 1,CA135087E596,4/13/2015,9/1/2020,0.75,1/14/2020,99.28,47
CAN 0.75 Sep 1,CA135087E596,4/13/2015,9/1/2020,0.75,1/15/2020,99.3,46
CAN 0.75 Mar 1,CA135087F254,10/19/2015,3/1/2021,0.75,1/2/2020,98.89,59
CAN 0.75 Mar 1,CA135087F254,10/19/2015,3/1/2021,0.75,1/3/2020,98.93,58
CAN 0.75 Mar 1,CA135087F254,10/19/2015,3/1/2021,0.75,1/6/2020,98.95,55
CAN 0.75 Mar 1,CA135087F254,10/19/2015,3/1/2021,0.75,1/7/2020,98.94,54
CAN 0.75 Mar 1,CA135087F254,10/19/2015,3/1/2021,0.75,1/8/2020,98.92,53
CAN 0.75 Mar 1,CA135087F254,10/19/2015,3/1/2021,0.75,1/9/2020,98.92,52
CAN 0.75 Mar 1,CA135087F254,10/19/2015,3/1/2021,0.75,1/10/2020,98.88,51
CAN 0.75 Mar 1,CA135087F254,10/19/2015,3/1/2021,0.75,1/13/2020,98.9,48
CAN 0.75 Mar 1,CA135087F254,10/19/2015,3/1/2021,0.75,1/14/2020,98.9,47
CAN 0.75 Mar 1,CA135087F254,10/19/2015,3/1/2021,0.75,1/15/2020,98.93,46
CAN 0.75 Sep 1,CA135087F585,4/11/2016,9/1/2021,0.75,1/2/2020,98.41,59
CAN 0.75 Sep 1,CA135087F585,4/11/2016,9/1/2021,0.75,1/3/2020,98.45,58
CAN 0.75 Sep 1,CA135087F585,4/11/2016,9/1/2021,0.75,1/6/2020,98.49,55
CAN 0.75 Sep 1,CA135087F585,4/11/2016,9/1/2021,0.75,1/7/2020,98.46,54
CAN 0.75 Sep 1,CA135087F585,4/11/2016,9/1/2021,0.75,1/8/2020,98.46,53
CAN 0.75 Sep 1,CA135087F585,4/11/2016,9/1/2021,0.75,1/9/2020,98.43,52
CAN 0.75 Sep 1,CA135087F585,4/11/2016,9/1/2021,0.75,1/10/2020,98.43,51
CAN 0.75 Sep 1,CA135087F585,4/11/2016,9/1/2021,0.75,1/13/2020,98.38,48
CAN 0.75 Sep 1,CA135087F585,4/11/2016,9/1/2021,0.75,1/14/2020,98.41,47
CAN 0.75 Sep 1,CA135087F585,4/11/2016,9/1/2021,0.75,1/15/2020,98.42,46
CAN 0.5 Mar 1,CA135087G328,10/11/2016,3/1/2022,0.5,1/2/2020,97.57,59
CAN 0.5 Mar 1,CA135087G328,10/11/2016,3/1/2022,0.5,1/3/2020,97.63,58
CAN 0.5 Mar 1,CA135087G328,10/11/2016,3/1/2022,0.5,1/6/2020,97.66,55
CAN 0.5 Mar 1,CA135087G328,10/11/2016,3/1/2022,0.5,1/7/2020,97.65,54
CAN 0.5 Mar 1,CA135087G328,10/11/2016,3/1/2022,0.5,1/8/2020,97.64,53
CAN 0.5 Mar 1,CA135087G328,10/11/2016,3/1/2022,0.5,1/9/2020,97.6,52
CAN 0.5 Mar 1,CA135087G328,10/11/2016,3/1/2022,0.5,1/10/2020,97.61,51
CAN 0.5 Mar 1,CA135087G328,10/11/2016,3/1/2022,0.5,1/13/2020,97.57,48
CAN 0.5 Mar 1,CA135087G328,10/11/2016,3/1/2022,0.5,1/14/2020,97.58,47
CAN 0.5 Mar 1,CA135087G328,10/11/2016,3/1/2022,0.5,1/15/2020,97.61,46
CAN 2.75 Jun 1,CA135087ZU15,8/2/2011,6/1/2022,2.75,1/2/2020,102.53,151
CAN 2.75 Jun 1,CA135087ZU15,8/2/2011,6/1/2022,2.75,1/3/2020,102.59,150
CAN 2.75 Jun 1,CA135087ZU15,8/2/2011,6/1/2022,2.75,1/6/2020,102.62,147
CAN 2.75 Jun 1,CA135087ZU15,8/2/2011,6/1/2022,2.75,1/7/2020,102.59,146
CAN 2.75 Jun 1,CA135087ZU15,8/2/2011,6/1/2022,2.75,1/8/2020,102.58,145
CAN 2.75 Jun 1,CA135087ZU15,8/2/2011,6/1/2022,2.75,1/9/2020,102.52,144
CAN 2.75 Jun 1,CA135087ZU15,8/2/2011,6/1/2022,2.75,1/10/2020,102.52,143
CAN 2.75 Jun 1,CA135087ZU15,8/2/2011,6/1/2022,2.75,1/13/2020,102.46,144
CAN 2.75 Jun 1,CA135087ZU15,8/2/2011,6/1/2022,2.75,1/14/2020,102.47,139
CAN 2.75 Jun 1,CA135087ZU15,8/2/2011,6/1/2022,2.75,1/15/2020,102.51,138
CAN 1.75 Mar 1,CA135087H490,10/6/2017,3/1/2023,1.75,1/2/2020,100.31,59
CAN 1.75 Mar 1,CA135087H490,10/6/2017,3/1/2023,1.75,1/3/2020,100.42,58
CAN 1.75 Mar 1,CA135087H490,10/6/2017,3/1/2023,1.75,1/6/2020,100.48,55
CAN 1.75 Mar 1,CA135087H490,10/6/2017,3/1/2023,1.75,1/7/2020,100.45,54
CAN 1.75 Mar 1,CA135087H490,10/6/2017,3/1/2023,1.75,1/8/2020,100.44,53
CAN 1.75 Mar 1,CA135087H490,10/6/2017,3/1/2023,1.75,1/9/2020,100.35,52
CAN 1.75 Mar 1,CA135087H490,10/6/2017,3/1/2023,1.75,1/10/2020,100.31,51
CAN 1.75 Mar 1,CA135087H490,10/6/2017,3/1/2023,1.75,1/13/2020,100.27,48
CAN 1.75 Mar 1,CA135087H490,10/6/2017,3/1/2023,1.75,1/14/2020,100.31,47
CAN 1.75 Mar 1,CA135087H490,10/6/2017,3/1/2023,1.75,1/15/2020,100.38,46
CAN 1.5 Jun 1,CA135087A610,7/30/2012,6/1/2023,1.5,1/2/2020,99.48,151
CAN 1.5 Jun 1,CA135087A610,7/30/2012,6/1/2023,1.5,1/3/2020,99.59,150
CAN 1.5 Jun 1,CA135087A610,7/30/2012,6/1/2023,1.5,1/6/2020,99.65,147
CAN 1.5 Jun 1,CA135087A610,7/30/2012,6/1/2023,1.5,1/7/2020,99.61,146
CAN 1.5 Jun 1,CA135087A610,7/30/2012,6/1/2023,1.5,1/8/2020,99.62,145
CAN 1.5 Jun 1,CA135087A610,7/30/2012,6/1/2023,1.5,1/9/2020,99.54,144
CAN 1.5 Jun 1,CA135087A610,7/30/2012,6/1/2023,1.5,1/10/2020,99.53,143
CAN 1.5 Jun 1,CA135087A610,7/30/2012,6/1/2023,1.5,1/13/2020,99.44,144
CAN 1.5 Jun 1,CA135087A610,7/30/2012,6/1/2023,1.5,1/14/2020,99.49,139
CAN 1.5 Jun 1,CA135087A610,7/30/2012,6/1/2023,1.5,1/15/2020,99.56,138
CAN 2.25 Mar 1,CA135087J546,10/5/2018,3/1/2024,2.25,1/2/2020,102.52,59
CAN 2.25 Mar 1,CA135087J546,10/5/2018,3/1/2024,2.25,1/3/2020,102.65,58
CAN 2.25 Mar 1,CA135087J546,10/5/2018,3/1/2024,2.25,1/6/2020,102.75,55
CAN 2.25 Mar 1,CA135087J546,10/5/2018,3/1/2024,2.25,1/7/2020,102.58,54
CAN 2.25 Mar 1,CA135087J546,10/5/2018,3/1/2024,2.25,1/8/2020,102.68,53
CAN 2.25 Mar 1,CA135087J546,10/5/2018,3/1/2024,2.25,1/9/2020,102.53,52
CAN 2.25 Mar 1,CA135087J546,10/5/2018,3/1/2024,2.25,1/10/2020,102.47,51
CAN 2.25 Mar 1,CA135087J546,10/5/2018,3/1/2024,2.25,1/13/2020,102.46,48
CAN 2.25 Mar 1,CA135087J546,10/5/2018,3/1/2024,2.25,1/14/2020,102.54,47
CAN 2.25 Mar 1,CA135087J546,10/5/2018,3/1/2024,2.25,1/15/2020,102.64,46
CAN 1.5 Sep 1,CA135087J967,4/5/2019,9/1/2024,1.5,1/2/2020,98.72,59
CAN 1.5 Sep 1,CA135087J967,4/5/2019,9/1/2024,1.5,1/3/2020,98.95,58
CAN 1.5 Sep 1,CA135087J967,4/5/2019,9/1/2024,1.5,1/6/2020,99.29,55
CAN 1.5 Sep 1,CA135087J967,4/5/2019,9/1/2024,1.5,1/7/2020,99.11,54
CAN 1.5 Sep 1,CA135087J967,4/5/2019,9/1/2024,1.5,1/8/2020,99.25,53
CAN 1.5 Sep 1,CA135087J967,4/5/2019,9/1/2024,1.5,1/9/2020,98.99,52
CAN 1.5 Sep 1,CA135087J967,4/5/2019,9/1/2024,1.5,1/10/2020,99.03,51
CAN 1.5 Sep 1,CA135087J967,4/5/2019,9/1/2024,1.5,1/13/2020,99.06,48
CAN 1.5 Sep 1,CA135087J967,4/5/2019,9/1/2024,1.5,1/14/2020,98.99,47
CAN 1.5 Sep 1,CA135087J967,4/5/2019,9/1/2024,1.5,1/15/2020,99.1,46